city,CO,NO2,O3,SO2,PM2.5,PM10
Muncie,243.66,3.3,81.54,2.59,2.41,2.94
Las Cruces,208.62,1.33,70.81,0.19,3.28,6.57
Sioux City,213.62,0.47,86.55,0.11,0.5,1.03
Ellicott City,240.33,4.2,81.54,0.97,4.84,5.55
Fontana,193.6,1.34,80.82,0.26,1.72,8.38
Waukegan,233.65,1.78,79.39,0.35,0.77,1.26
Eugene,293.73,9.25,39.7,0.63,2.89,4.58
Hollywood,220.3,6.86,86.55,1.65,1.76,6.99
Walnut Creek,397.21,46.61,28.97,31.95,7.63,12.84
San Mateo,410.56,38.39,60.8,9.42,14.43,18.54
Killeen,277.04,8.82,23.25,0.38,6.17,6.46
Mount Vernon,233.65,3.09,77.25,3.07,1.33,1.71
Akron,260.35,4.63,65.09,0.8,2.0,2.78
Flagstaff,173.57,0.33,87.26,0.4,1.49,6.11
Davenport,230.31,1.89,82.97,0.69,1.04,1.83
Wichita,230.31,2.96,70.81,0.34,0.62,1.1
South Bend,260.35,8.57,76.53,4.29,2.25,3.33
Livonia,236.99,3.64,77.25,0.72,0.93,1.4
Bloomington,236.99,2.12,77.25,1.09,2.33,2.75
Beaumont,198.6,3.13,98.71,2.18,4.41,9.76
Phoenix,600.82,50.72,77.25,6.68,21.59,35.16
Torrance,320.44,25.71,85.83,9.18,5.03,11.47
Loveland,191.93,0.7,82.25,0.15,0.83,1.74
Buena Park,587.46,74.71,124.45,30.99,36.52,49.62
McKinney,247.0,4.5,45.42,0.28,2.7,2.83
Temecula,230.31,5.83,95.84,1.16,2.21,7.38
New Bedford,303.75,14.91,26.82,1.39,2.29,3.92
Toledo,205.28,1.41,65.8,0.07,0.7,1.12
Avondale,213.62,1.11,121.59,0.51,4.1,12.48
Brooklyn Park,230.31,2.19,75.82,2.18,0.5,0.77
Inglewood,320.44,25.71,85.83,9.18,5.03,11.47
Chicago,253.68,7.11,74.39,1.68,1.22,2.04
Boca Raton,216.96,3.81,80.82,1.52,2.24,4.1
Overland Park,267.03,9.43,65.09,2.44,1.65,2.66
Oshkosh,230.31,1.5,80.11,0.75,0.58,0.92
Fort Myers,200.27,1.84,98.71,0.22,2.12,4.47
Pasadena,236.99,9.25,86.55,2.27,2.35,6.51
Indio,211.95,0.57,98.71,0.35,1.8,8.54
Farmington Hills,233.65,2.74,77.96,1.12,0.98,1.33
Baldwin Park,198.6,1.67,92.98,0.48,1.05,3.38
Bellevue,554.09,42.16,7.42,2.41,10.84,16.95
Gary,260.35,10.37,75.1,4.83,1.47,2.82
Dayton,260.35,5.27,74.39,1.74,3.12,3.71
Laguna Niguel,333.79,8.31,107.29,2.18,8.27,12.42
Syracuse,363.83,10.54,46.49,58.17,25.92,28.23
Indianapolis,247.0,4.11,77.96,0.73,2.05,2.62
San Jose,440.6,45.24,62.23,14.19,20.8,27.48
Topeka,216.96,2.01,83.69,3.13,0.5,1.09
Arvada,230.31,5.74,82.97,4.23,4.67,5.84
Chula Vista,230.31,4.16,108.72,1.21,2.28,6.28
Omaha,211.95,0.87,88.69,0.59,0.97,3.49
Lexington-Fayette  county,253.68,5.83,62.94,4.41,2.94,3.54
Yakima,297.07,12.0,42.56,0.31,8.64,12.58
Wichita Falls,233.65,4.24,62.94,0.38,0.66,0.7
Huntsville,216.96,2.91,57.22,0.53,5.28,8.92
Beaverton,420.57,29.47,25.75,2.77,10.23,13.82
Union City,921.25,106.93,18.95,20.98,48.2,66.17
Framingham,417.23,32.9,13.41,0.91,6.85,9.2
Cape Coral,200.27,1.84,98.71,0.22,2.12,4.47
Lee's Summit,273.71,13.37,62.23,10.01,1.99,2.91
Oklahoma City,226.97,4.2,70.1,4.59,0.9,1.36
McAllen,211.95,2.14,62.23,1.8,1.62,1.91
Odessa,247.0,4.8,27.9,1.13,2.81,3.84
Asheville,210.29,1.17,75.1,0.6,3.71,4.92
Spokane,303.75,9.77,47.92,0.81,4.34,6.47
Racine,236.99,2.01,78.68,0.6,0.78,1.11
Carrollton,260.35,7.28,42.92,0.54,3.05,3.24
Lafayette,200.27,0.87,101.57,0.35,3.55,7.22
Gresham,447.27,38.04,20.03,4.83,10.35,14.59
Norwalk,393.87,30.5,42.56,2.71,11.26,15.93
Menifee,236.99,8.91,87.98,1.77,2.32,7.8
Yorba Linda,587.46,74.71,124.45,30.99,36.52,49.62
Livermore,270.37,9.34,60.08,1.73,3.86,9.21
Saint Charles,236.99,2.91,75.1,0.69,1.02,1.61
Hesperia,201.94,1.13,83.69,0.12,3.17,17.33
Baltimore,240.33,4.2,81.54,0.97,4.84,5.55
Whittier,1028.06,135.72,57.94,30.99,52.41,67.73
College Station,201.94,2.01,79.39,0.3,2.98,5.15
Layton,216.96,4.37,74.39,1.59,4.04,5.06
Roseville,310.42,13.71,57.22,4.17,6.46,12.24
Cleveland,263.69,4.41,69.38,2.8,2.7,3.13
Waco,290.39,13.37,20.03,0.61,6.03,6.55
Tempe,263.69,8.48,115.87,2.65,6.3,16.63
Concord,327.11,17.65,30.4,0.86,1.99,2.48
Ames,223.64,1.71,72.24,0.39,0.5,0.62
Canton,236.99,3.09,25.39,0.34,6.8,6.99
Pittsburgh,260.35,8.57,58.65,4.77,1.48,2.15
Rancho Cucamonga,193.6,1.34,80.82,0.26,1.72,8.38
Fort Wayne,236.99,2.74,81.54,0.97,1.76,2.27
North Charleston,250.34,2.51,117.3,0.63,16.26,18.61
Riverview,230.31,2.23,57.94,0.05,0.5,0.93
San Clemente,188.59,2.4,47.92,0.03,0.61,0.85
Plantation,223.64,6.43,74.39,1.8,2.48,4.02
Olathe,236.99,3.47,70.81,1.91,1.04,1.81
Virginia Beach,303.75,10.8,88.69,3.01,20.16,22.99
Renton,403.88,35.99,28.61,5.31,6.63,10.54
Lawrence,226.97,3.86,73.67,11.68,0.86,1.4
Grand Rapids,236.99,3.21,76.53,2.68,0.82,1.17
Miami,203.61,2.66,79.39,1.49,2.53,6.28
Bethlehem,387.19,69.23,0.01,12.76,13.79,25.89
Orlando,220.3,7.37,114.44,4.29,4.4,7.63
Sacramento,360.49,18.34,42.2,4.29,7.47,12.59
Vancouver,397.21,21.76,31.83,4.83,2.43,8.43
Washington,243.66,6.17,80.11,2.21,4.0,4.51
Rancho Cordova,460.63,35.99,43.99,10.37,19.65,25.32
South Jordan,236.99,8.57,69.38,5.31,4.7,6.64
Trenton,273.71,5.66,82.25,2.0,11.7,14.39
Pleasanton,350.48,23.31,56.51,7.75,6.06,11.66
Southfield,233.65,2.74,77.96,1.12,0.98,1.33
San Angelo,226.97,1.93,55.08,0.21,3.86,4.01
Denver,230.31,7.54,84.4,3.19,3.25,4.22
Greeley,193.6,1.27,84.4,0.71,1.37,2.2
Tustin,297.07,22.62,103.0,10.25,5.34,10.64
Shawnee,240.33,5.06,72.96,1.37,1.29,2.41
Somerville,587.46,47.98,1.79,4.11,10.99,14.79
Sparks,247.0,7.8,66.52,1.82,7.6,31.53
Rialto,208.62,2.46,82.97,0.41,2.26,10.77
Pomona,213.62,3.17,94.41,0.86,1.49,3.58
Kenosha,230.31,1.46,77.96,0.31,0.74,1.06
Garden Grove,297.07,22.62,103.0,10.25,5.34,10.64
Detroit,247.0,6.68,74.39,1.54,1.21,1.88
Temple,223.64,4.97,40.41,0.46,3.89,6.46
Mountain View,410.56,38.04,60.08,10.13,10.78,16.11
Scottsdale,263.69,8.48,115.87,2.65,6.3,16.63
New Britain,151.87,0.04,8.49,5.54,4.25,4.36
Kenner,205.28,5.27,97.28,2.44,4.1,7.4
Allen,247.0,4.5,45.42,0.28,2.7,2.83
Gulfport,206.95,0.62,97.28,0.39,5.53,9.05
Wilmington,273.71,7.11,80.11,2.35,9.75,11.2
Centreville,233.65,3.34,80.82,1.71,3.96,4.25
Escondido,216.96,2.79,104.43,0.83,1.72,4.62
Fishers,233.65,1.82,80.82,0.43,1.53,1.91
Brandon,220.3,1.76,73.67,0.13,0.5,0.59
Kendall,216.96,5.74,76.53,2.21,2.75,5.77
